iced-tea,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,24,140,0,33,0,Venti Iced,,
bottled-drinks,Starbucks® Iced Coffee Light Sweetened,8,50,0,11,110,,,
bottled-drinks,Starbucks® Iced Coffee Unsweetened,8,10,0,0,110,,,
bottled-drinks,Starbucks® Iced Latte - Pumpkin Spice Latte,14,270,4.5,42,150,,,
bottled-drinks,Teavana® Mango Black Tea,14.5,100,0,22,55,,,
bottled-drinks,Teavana® Pineapple Berry Iced Tea,14.5,90,0,21,0,,,
brewed-coffee,Blonde Roast,16,5,0,0,360,Grande,,
brewed-coffee,Blonde Roast,8,5,0,0,180,Short,,
brewed-coffee,Blonde Roast,12,5,0,0,270,Tall,,
brewed-coffee,Blonde Roast,20,5,0,0,475,Venti,,
brewed-coffee,Caffè Misto,8,30,2,2,75,Short,Almond,
brewed-coffee,Caffè Misto,8,40,2.5,3,75,Short,Coconut,
brewed-coffee,Caffè Misto,8,35,0,5,75,Short,Nonfat milk,
brewed-coffee,Caffè Misto,8,70,3.5,5,75,Short,Whole Milk,
brewed-coffee,Caffè Misto,8,50,2,5,75,Short,2% Milk,
brewed-coffee,Caffè Misto,8,50,1.5,5,75,Short,Soy (United States),
brewed-coffee,Caffè Misto,12,40,2.5,2,115,Tall,Almond,
brewed-coffee,Caffè Misto,12,60,3.5,5,115,Tall,Coconut,
brewed-coffee,Caffè Misto,12,60,0,8,115,Tall,Nonfat milk,
brewed-coffee,Caffè Misto,12,100,5,8,115,Tall,Whole Milk,
brewed-coffee,Caffè Misto,12,80,3,8,115,Tall,2% Milk,
brewed-coffee,Caffè Misto,12,80,2.5,8,115,Tall,Soy (United States),
brewed-coffee,Caffè Misto,16,50,3.5,3,115,Grande,Almond,
brewed-coffee,Caffè Misto,16,70,4.5,7,150,Grande,Coconut,
brewed-coffee,Caffè Misto,16,70,0,10,150,Grande,Nonfat milk,
brewed-coffee,Caffè Misto,16,130,7,10,150,Grande,Whole Milk,
brewed-coffee,Caffè Misto,16,110,4,10,150,Grande,2% Milk,
brewed-coffee,Caffè Misto,16,100,3,10,150,Grande,Soy (United States),
brewed-coffee,Caffè Misto,20,60,3.5,3,150,Venti,Almond,
brewed-coffee,Caffè Misto,20,80,5,7,195,Venti,Coconut,
brewed-coffee,Caffè Misto,20,90,0,13,195,Venti,Nonfat milk,
brewed-coffee,Caffè Misto,20,160,9,13,195,Venti,Whole Milk,
brewed-coffee,Caffè Misto,20,130,5,13,195,Venti,2% Milk,
brewed-coffee,Caffè Misto,20,130,4,13,195,Venti,Soy (United States),
brewed-coffee,Clover® Brewed Coffee,16,10,0,0,375,Grande,,
brewed-coffee,Clover® Brewed Coffee,8,10,0,0,170,Short,,
brewed-coffee,Clover® Brewed Coffee,12,10,0,0,280,Tall,,
brewed-coffee,Clover® Brewed Coffee,20,10,0,0,445,Venti,,
iced-coffee,Cold Brew with Cascara Cold Foam,12,50,0,11,145,Tall,,
iced-coffee,Cold Brew with Cascara Cold Foam,16,80,0,17,190,Grande,,
iced-coffee,Cold Brew with Cascara Cold Foam,24,100,0,22,280,Venti Iced,,
iced-coffee,Cold Brew with Cascara Cold Foam,30,130,0,28,320,Trenta Iced,,
brewed-coffee,Cold Brew with Cold Foam,12,30,0,5,155,Tall,,
brewed-coffee,Cold Brew with Cold Foam,16,35,0,7,205,Grande,,
brewed-coffee,Cold Brew with Cold Foam,24,40,0,7,310,Venti Iced,,
brewed-coffee,Cold Brew with Cold Foam,30,45,0,8,360,Trenta Iced,,
brewed-coffee,Cold Brew with Salted Cream Cold Foam,12,160,10,17,140,Tall,,
brewed-coffee,Cold Brew with Salted Cream Cold Foam,16,230,14,23,185,Grande,,
brewed-coffee,Cold Brew with Salted Cream Cold Foam,24,280,17,30,275,Venti Iced,,
brewed-coffee,Cold Brew with Salted Cream Cold Foam,30,340,21,36,320,Trenta Iced,,
brewed-coffee,Decaf Pike Place® Roast,8,5,0,0,15,Short,,
brewed-coffee,Decaf Pike Place® Roast,12,5,0,0,20,Tall,,
brewed-coffee,Decaf Pike Place® Roast,16,5,0,0,25,Grande,,
brewed-coffee,Decaf Pike Place® Roast,20,5,0,0,30,Venti,,
brewed-coffee,Featured Dark Roast,8,5,0,0,130,Short,,
brewed-coffee,Featured Dark Roast,12,5,0,0,195,Tall,,
brewed-coffee,Featured Dark Roast,16,5,0,0,260,Grande,,
brewed-coffee,Featured Dark Roast,20,5,0,0,340,Venti,,
iced-coffee,Iced Coffee,30,160,0,39,280,Trenta Iced,,Sweetened
iced-coffee,Iced Coffee,30,5,0,0,330,Trenta Iced,,Unsweetened
iced-coffee,Iced Coffee,12,60,0,15,120,Tall,,Sweetened
iced-coffee,Iced Coffee,12,0,0,0,140,Tall,,Unsweetened
iced-coffee,Iced Coffee,16,80,0,20,165,Grande,,Sweetened
iced-coffee,Iced Coffee,16,5,0,0,190,Grande,,Unsweetened
iced-coffee,Iced Coffee,24,120,0,30,235,Venti Iced,,Sweetened
iced-coffee,Iced Coffee,24,5,0,0,275,Venti Iced,,Unsweetened
iced-coffee,Iced Coffee with Milk,30,35,2.5,2,240,Trenta Iced,Almond,Unsweetened
iced-coffee,Iced Coffee with Milk,30,210,3,44,190,Trenta Iced,Coconut,Sweetened
iced-coffee,Iced Coffee with Milk,30,50,3,4,240,Trenta Iced,Coconut,Unsweetened
iced-coffee,Iced Coffee with Milk,30,210,0,46,190,Trenta Iced,Nonfat milk,Sweetened
iced-coffee,Iced Coffee with Milk,30,50,0,7,240,Trenta Iced,Nonfat milk,Unsweetened
iced-coffee,Iced Coffee with Milk,30,240,4.5,46,190,Trenta Iced,Whole Milk,Sweetened
iced-coffee,Iced Coffee with Milk,30,90,4.5,7,240,Trenta Iced,Whole Milk,Unsweetened
iced-coffee,Iced Coffee with Milk,30,230,3,46,190,Trenta Iced,2% Milk,Sweetened
iced-coffee,Iced Coffee with Milk,30,70,3,7,240,Trenta Iced,2% Milk,Unsweetened
iced-coffee,Iced Coffee with Milk,30,230,2,46,190,Trenta Iced,Soy (United States),Sweetened
iced-coffee,Iced Coffee with Milk,30,70,2,7,240,Trenta Iced,Soy (United States),Unsweetened
iced-coffee,Iced Coffee with Milk,12,70,1,15,90,Tall,Almond,Sweetened
iced-coffee,Iced Coffee with Milk,12,15,1,1,110,Tall,Almond,Unsweetened
iced-coffee,Iced Coffee with Milk,12,80,1,16,90,Tall,Coconut,Sweetened
iced-coffee,Iced Coffee with Milk,12,20,1,2,110,Tall,Coconut,Unsweetened
iced-coffee,Iced Coffee with Milk,12,80,0,17,90,Tall,Nonfat milk,Sweetened
iced-coffee,Iced Coffee with Milk,12,20,0,2,110,Tall,Nonfat milk,Unsweetened
